nflid,displayname,position,playercollegename
2540232,"Jack Doyle",TE,"Western Kentucky"
2552467,"Mark Glowinski",G,"West Virginia"
2555191,"Ryan Kelly",C,Alabama
2555261,"Jacoby Brissett",QB,"North Carolina State"
2556396,"Chester Rogers",WR,"Grambling State"
2558123,"Marlon Mack",RB,"South Florida"
2558877,"Zach Pascal",WR,"Old Dominion"
2560820,"Quenton Nelson",G,"Notre Dame"
2560876,"Braden Smith",G,Auburn
2495677,"Brandon Mebane",NT,California
2506352,"Thomas Davis",OLB,Georgia
2532861,"Casey Hayward",CB,Vanderbilt
2532870,"Melvin Ingram",DE,"South Carolina"
2550842,"Adrian Phillips",SS,Texas
2555249,"Joey Bosa",DE,"Ohio State"
2557927,"Desmond King",CB,Iowa
2558182,"Rayshawn Jenkins",SS,Miami
2559164,"Michael Davis",CB,"Brigham Young"
2560769,"Justin Jones",DT,"North Carolina State"
2560928,"Kyzir White",LB,"West Virginia"
2543466,"Eric Ebron",TE,"North Carolina"
2558832,"Mo Alie-Cox",TE,"Virginia Commonwealth"
2560987,"Deon Cain",WR,Clemson
2560826,"Uchenna Nwosu",LB,"Southern California"
2561149,"Matthew Adams",ILB,Houston
2495288,"Virgil Green",TE,Nevada
2530700,"Dontrelle Inman",WR,Virginia
2555220,"Derek Watt",FB,Wisconsin
2560756,"Justin Jackson",RB,Northwestern
2555248,"Jihad Ward",DT,Illinois
2558766,"Grover Stewart",DT,"Albany State, Ga."
2560905,"Kemoko Turay",DE,Rutgers
2562229,"Ben Banogu",DE,"Texas Christian"
2552458,"Devin Funchess",WR,Michigan
2540003,"Damion Square",NT,Alabama
2560719,"Brandon Facyson",CB,"Virginia Tech"
2562495,"Parris Campbell",WR,"Ohio State"
2562763,"Jerry Tillery",DT,"Notre Dame"
2562416,"Bobby Okereke",LB,Stanford
2562602,"Khari Willis",DB,"Michigan State"
2557890,"Forrest Lamp",OG,"Western Kentucky"
2560742,"Nyheim Hines",RB,"North Carolina State"
2557860,"Isaac Rochell",DE,"Notre Dame"
2543707,"Jaylen Watkins",SS,Florida
496762,"Geno Atkins",DT,Georgia
496780,"Carlos Dunlap",DE,Florida
2533060,"Dre Kirkpatrick",CB,Alabama
2539233,"Shawn Williams",SS,Georgia
2539338,"B.W. Webb",CB,"William & Mary"
2543814,"Preston Brown",MLB,Louisville
2555528,"Nick Vigil",OLB,"Utah State"
2556367,"William Jackson",CB,Houston
2557851,"Ryan Glasgow",DT,Michigan
2560745,"Sam Hubbard",DE,"Ohio State"
2560970,"Jessie Bates",S,"Wake Forest"
808,"Duane Brown",T,"Virginia Tech"
2532975,"Russell Wilson",QB,Wisconsin
2540166,"D.J. Fluker",OG,Alabama
2541966,"Jaron Brown",WR,Clemson
2550135,"Justin Britt",C,Missouri
2552430,"Tyler Lockett",WR,"Kansas State"
2555395,"Germain Ifedi",G,"Texas A&M"
2557891,"Ethan Pocic",C,"Louisiana State"
2558865,"Chris Carson",RB,"Oklahoma State"
2561046,"Will Dissly",TE,Washington
2562685,"D.K. Metcalf",WR,Mississippi
71465,"Andre Smith",T,Alabama
2495143,"Andy Dalton",QB,"Texas Christian"
2550208,"Trey Hopkins",G,Texas
2552335,"Bobby Hart",OT,"Florida State"
2552559,"C.J. Uzomah",TE,Auburn
2553436,"John Miller",G,Louisville
2555466,"Tyler Boyd",WR,Pittsburgh
2557976,"Joe Mixon",HB,Oklahoma
2558010,"John Ross",WR,Washington
2562679,"Mike Jordan",OG,"Ohio State"
2563238,"Damion Willis",WR,Troy
496881,"Al Woods",DT,LSU
2495252,"K.J. Wright",OLB,"Mississippi State"
2532890,"Mychal Kendricks",OLB,California
2532966,"Bobby Wagner",MLB,"Utah State"
2539243,"Bradley McDougald",SS,Kansas
2543456,"Jadeveon Clowney",DE,"South Carolina"
2555358,"Quinton Jefferson",DE,Maryland
2557881,"Tedric Thompson",FS,Colorado
2558259,"Shaquill Griffin",CB,"Central Florida"
2560728,"Tre Flowers",CB,"Oklahoma State"
2562914,"Bryan Mone",NT,Michigan
2540148,"Tyler Eifert",TE,"Notre Dame"
2556880,"Branden Jackson",DE,"Texas Tech"
2560998,"Rasheem Green",DE,"Southern California"
2561195,"Poona Ford",DT,Texas
2555267,"Andrew Billings",DT,Baylor
2556524,"George Fant",OT,"Western Kentucky"
2555355,"Clayton Fejedelem",FS,Illinois
2557901,"Carl Lawson",DE,Auburn
2550312,"Kerry Wynn",DE,Richmond
2559003,"Josh Tupou",DT,Colorado
2495262,"Nick Bellore",FB,"Central Michigan"
2560835,"Rashaad Penny",RB,"San Diego State"
2561671,"Malik Turner",WR,Illinois
2562702,"Germaine Pratt",LB,"North Carolina State"
2555289,"Nick Vannett",TE,"Ohio State"
2540156,"Giovani Bernard",HB,"North Carolina"
2555419,"Pharoh Cooper",WR,"South Carolina"
2562720,"Drew Sample",TE,Washington
2562464,"Ugo Amadi",FS,Oregon
2556817,"Tony McRae",CB,"North Carolina A&T"
2562612,"Renell Wren",DT,"Arizona State"
2556519,"Alex Erickson",WR,Wisconsin
2495507,"Richard Sherman",CB,Stanford
2543494,"Dee Ford",DE,Auburn
2552391,"Jaquiski Tartt",FS,Samford
2552493,"Arik Armstead",DE,Oregon
2552592,"Kwon Alexander",MLB,LSU
2555275,"DeForest Buckner",DE,Oregon
2558157,"Ahkello Witherspoon",CB,Colorado
2558265,"D.J. Jones",DT,Mississippi
2560917,"Fred Warner",LB,"Brigham Young"
2561117,"Tarvarius Moore",DB,"Southern Mississippi"
2562428,"Dre Greenlaw",LB,Arkansas
2507716,"Demar Dotson",OT,"Southern Mississippi"
2541159,"Ryan Jensen",C,"Colorado State-Pueblo"
2543468,"Mike Evans",WR,"Texas A&M"
2552033,"Jameis Winston",QB,"Florida State"
2552332,"Ali Marpet",G,Hobart
2552460,"Donovan Smith",T,"Penn State"
2556466,"Peyton Barber",RB,Auburn
2557856,"O.J. Howard",TE,Alabama
2558105,"Chris Godwin",WR,"Penn State"
2559044,"Antony Auclair",TE,"Laval (Canada)"
2560991,"Alex Cappa",G,"Humboldt State"
2495746,"Joe Staley",T,"Central Michigan"
2508140,"Mike Person",C,"Montana State"
2539964,"Marquise Goodwin",WR,Texas
2540230,"Kyle Juszczyk",FB,Harvard
2543705,"Weston Richburg",C,"Colorado State"
2543801,"Jimmy Garoppolo",QB,"Eastern Illinois"
2552345,"Laken Tomlinson",G,Duke
2552453,"Tevin Coleman",RB,Indiana
2558266,"George Kittle",TE,Iowa
2560805,"Mike McGlinchey",OT,"Notre Dame"
2562721,"Deebo Samuel",WR,"South Carolina"
494307,"Darian Stewart",FS,"South Carolina"
496861,"Ndamukong Suh",DT,Nebraska
2532828,"Lavonte David",OLB,Nebraska
2540176,"William Gholston",DE,"Michigan State"
2550541,"Shaquil Barrett",OLB,"Colorado State"
2555270,"Carl Nassib",OLB,"Penn State"
2555299,"Vernon Hargreaves III",CB,Florida
2560909,"Vita Vea",DT,Washington
2560930,"Jordan Whitehead",DB,Pittsburgh
2561039,"Carlton Davis",CB,Auburn
2562781,"Devin White",LB,"Louisiana State"
2561060,"Ross Dwelley",TE,"San Diego"
